# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_FIRST_OCCURRENCE 1581 3 41 51 281474977469229 1 ./.git/refs/heads/main
DUPTYPE_WITHIN_SAME_TREE -1581 4 41 51 281474977502175 1 ./.git/refs/remotes/origin/main
DUPTYPE_FIRST_OCCURRENCE 18 2 764 51 281474977420524 1 ./.git/logs/HEAD
DUPTYPE_WITHIN_SAME_TREE -18 4 764 51 281474977420526 1 ./.git/logs/refs/heads/main
DUPTYPE_FIRST_OCCURRENCE 2926 2 110199 51 281474977428083 1 ./jpg/EN/t61.jpg
DUPTYPE_WITHIN_SAME_TREE -2926 2 110199 51 281474977428084 1 ./jpg/EN/t63.jpg
DUPTYPE_FIRST_OCCURRENCE 2492 2 312494 51 281474977428473 1 ./jpg/EN.new/m143.jpg
DUPTYPE_WITHIN_SAME_TREE -2492 2 312494 51 281474977428143 1 ./jpg/EN/m143.jpg
DUPTYPE_FIRST_OCCURRENCE 2072 3 407072 51 281474977429412 1 ./cards/EN/methods/m127.png
DUPTYPE_WITHIN_SAME_TREE -2072 3 407072 51 281474977429414 1 ./cards/EN/methods/m127.svg.png
DUPTYPE_FIRST_OCCURRENCE 1720 3 434915 51 562949954138090 1 ./cards/DE/methods/m141.svg
DUPTYPE_WITHIN_SAME_TREE -1720 3 434915 51 281474977429432 1 ./cards/EN/methods/m141.svg
DUPTYPE_FIRST_OCCURRENCE 1726 3 438699 51 562949954138096 1 ./cards/DE/methods/m147.svg
DUPTYPE_WITHIN_SAME_TREE -1726 3 438699 51 281474977429438 1 ./cards/EN/methods/m147.svg
DUPTYPE_FIRST_OCCURRENCE 1733 3 441499 51 562949954138103 1 ./cards/DE/methods/m151.svg
DUPTYPE_WITHIN_SAME_TREE -1733 3 441499 51 281474977429442 1 ./cards/EN/methods/m151.svg
DUPTYPE_FIRST_OCCURRENCE 1732 3 452070 51 562949954138102 1 ./cards/DE/methods/m150.svg
DUPTYPE_WITHIN_SAME_TREE -1732 3 452070 51 281474977429441 1 ./cards/EN/methods/m150.svg
DUPTYPE_FIRST_OCCURRENCE 1722 3 460262 51 562949954138092 1 ./cards/DE/methods/m143.svg
DUPTYPE_WITHIN_SAME_TREE -1722 3 460262 51 281474977429434 1 ./cards/EN/methods/m143.svg
DUPTYPE_FIRST_OCCURRENCE 1658 3 461128 51 562949954138243 1 ./cards/DE/kids/sk1.svg
DUPTYPE_WITHIN_SAME_TREE -1658 3 461128 51 281474977428948 1 ./cards/EN/kids/sk1.svg
DUPTYPE_FIRST_OCCURRENCE 1721 3 541993 51 562949954138091 1 ./cards/DE/methods/m142.svg
DUPTYPE_WITHIN_SAME_TREE -1721 3 541993 51 281474977429433 1 ./cards/EN/methods/m142.svg
DUPTYPE_FIRST_OCCURRENCE 1723 3 616750 51 562949954138093 1 ./cards/DE/methods/m144.svg
DUPTYPE_WITHIN_SAME_TREE -1723 3 616750 51 281474977429435 1 ./cards/EN/methods/m144.svg
DUPTYPE_FIRST_OCCURRENCE 1734 3 679167 51 562949954138104 1 ./cards/DE/methods/m152.svg
DUPTYPE_WITHIN_SAME_TREE -1734 3 679167 51 281474977429443 1 ./cards/EN/methods/m152.svg
DUPTYPE_FIRST_OCCURRENCE 1719 3 883308 51 562949954138089 1 ./cards/DE/methods/m140.svg
DUPTYPE_WITHIN_SAME_TREE -1719 3 883308 51 281474977429431 1 ./cards/EN/methods/m140.svg
DUPTYPE_FIRST_OCCURRENCE 1735 3 1367749 51 562949954138105 1 ./cards/DE/methods/m153.svg
DUPTYPE_WITHIN_SAME_TREE -1735 3 1367749 51 281474977429444 1 ./cards/EN/methods/m153.svg
DUPTYPE_FIRST_OCCURRENCE 1728 3 1448249 51 562949954138098 1 ./cards/DE/methods/m149.svg
DUPTYPE_WITHIN_SAME_TREE -1728 3 1448249 51 281474977429440 1 ./cards/EN/methods/m149.svg
DUPTYPE_FIRST_OCCURRENCE 1727 3 2177580 51 562949954138097 1 ./cards/DE/methods/m148.svg
DUPTYPE_WITHIN_SAME_TREE -1727 3 2177580 51 281474977429439 1 ./cards/EN/methods/m148.svg
DUPTYPE_FIRST_OCCURRENCE 1724 3 2331870 51 562949954138094 1 ./cards/DE/methods/m145.svg
DUPTYPE_WITHIN_SAME_TREE -1724 3 2331870 51 281474977429436 1 ./cards/EN/methods/m145.svg
DUPTYPE_FIRST_OCCURRENCE 1725 3 12150060 51 562949954138095 1 ./cards/DE/methods/m146.svg
DUPTYPE_WITHIN_SAME_TREE -1725 3 12150060 51 281474977429437 1 ./cards/EN/methods/m146.svg
DUPTYPE_FIRST_OCCURRENCE 2960 1 52906956 51 281474977422190 1 ./scripts.bullseye/m46.svg.deleted.evidence
DUPTYPE_WITHIN_SAME_TREE -2960 3 52906956 51 562949954138136 1 ./cards/DE/methods/m46.svg
DUPTYPE_WITHIN_SAME_TREE -2960 3 52906956 51 562949954138195 1 ./cards/DE/methods/m46.svg.deleted.evidence
DUPTYPE_WITHIN_SAME_TREE -2960 3 52906956 51 281474977429600 1 ./cards/EN/methods/m46.svg.deleted.evidence
# end of file
